Date,Symbol,Security Name,Client Name,Buy/Sell,Quantity Traded,Trade Price / Wght. Avg. Price
26-JUN-2025,DELHIVERY,Delhivery Limited,ASK ABSOLUTE RETURN FUND,BUY,773195,387.00
26-JUN-2025,DELHIVERY,Delhivery Limited,AXIS MUTUAL FUND,BUY,775193,387.00
26-JUN-2025,DELHIVERY,Delhivery Limited,CITIGROUP GLOBAL MARKETS SINGAPORE PTE LIMITED,BUY,333682,387.00
26-JUN-2025,DELHIVERY,Delhivery Limited,HDFC MUTUAL FUND,BUY,1097464,387.00
26-JUN-2025,DELHIVERY,Delhivery Limited,TATA EQUITY PLUS ABSOLUTE RETURNS FUND,BUY,300000,387.00
26-JUN-2025,DELHIVERY,Delhivery Limited,MORGAN STANLEY ASIA SINGAPORE PTE,BUY,1886852,387.00
26-JUN-2025,DELHIVERY,Delhivery Limited,MORGAN STANLEY ASIA SINGAPORE PTE,BUY,2885814,387.00
26-JUN-2025,DELHIVERY,Delhivery Limited,VIRIDIAN ASIA OPPORTUNITIES MASTER FUND,BUY,885000,387.00
26-JUN-2025,DELHIVERY,Delhivery Limited,TATA MUTUAL FUND,BUY,1645000,387.00
26-JUN-2025,DELHIVERY,Delhivery Limited,HILL FORT INDIA FUND LP,BUY,1330000,387.00
26-JUN-2025,POLICYBZR,PB Fintech Limited,GHISALLO MASTER FUND LP,BUY,755992,1821.50
26-JUN-2025,POLICYBZR,PB Fintech Limited,WF ASIAN SMALLER COMPANIES FUND LTD,BUY,518003,1821.50
26-JUN-2025,POLICYBZR,PB Fintech Limited,WF ASIAN RECONNAISSANCE FUND LTD,BUY,190739,1821.50
26-JUN-2025,POLICYBZR,PB Fintech Limited,VIRIDIAN ASIA OPPORTUNITIES MASTER FUND,BUY,94499,1821.50
26-JUN-2025,POLICYBZR,PB Fintech Limited,TATA MUTUAL FUND,BUY,411748,1821.50
26-JUN-2025,POLICYBZR,PB Fintech Limited,CITIGROUP GLOBAL MARKETS MAURITIUS PRIVATE LIMITED,BUY,56699,1821.50
26-JUN-2025,POLICYBZR,PB Fintech Limited,EDELWEISS LIFE INSURANCE COMPANY LIMITED,BUY,54903,1821.50
26-JUN-2025,POLICYBZR,PB Fintech Limited,GOLDMAN SACHS (SINGAPORE) PTE,BUY,56699,1821.50
26-JUN-2025,POLICYBZR,PB Fintech Limited,GOLDMAN SACHS INVESTMENTS MAURITIUS I LIMITED,BUY,70874,1821.50
26-JUN-2025,POLICYBZR,PB Fintech Limited,HDFC LIFE INSURANCE COMPANY LIMITED,BUY,713697,1821.50
26-JUN-2025,POLICYBZR,PB Fintech Limited,ICICI PRUDENTIAL LIFE INSURANCE COMPANY LIMITED,BUY,755000,1821.50
26-JUN-2025,POLICYBZR,PB Fintech Limited,MORGAN STANLEY ASIA SINGAPORE PTE,BUY,94499,1821.50
26-JUN-2025,POLICYBZR,PB Fintech Limited,MORGAN STANLEY ASIA SINGAPORE PTE,BUY,481307,1821.50
26-JUN-2025,POLICYBZR,PB Fintech Limited,SOCIETE GENERALE,BUY,524467,1821.50
26-JUN-2025,POLICYBZR,PB Fintech Limited,SUBHKAM VENTURES I PVT LTD,BUY,200000,1821.50
26-JUN-2025,POLICYBZR,PB Fintech Limited,TARA EMERGING ASIA LIQUID FUND,BUY,70874,1821.50
26-JUN-2025,DELHIVERY,Delhivery Limited,NEXUS OPPORTUNITY FUND LTD,SELL,1700129,387.00
26-JUN-2025,DELHIVERY,Delhivery Limited,NEXUS VENTURES III LIMITED,SELL,10212071,387.00
26-JUN-2025,POLICYBZR,PB Fintech Limited,YASHISH DAHIYA,SELL,900000,1821.50
26-JUN-2025,POLICYBZR,PB Fintech Limited,YASHISH DAHIYA,SELL,2500000,1821.50
26-JUN-2025,POLICYBZR,PB Fintech Limited,ALOK  BANSAL,SELL,1650000,1821.50
